Year,Country,D2_YouthBulge_pct,E2_Gini,E4_YouthUnemp_pct,P1_Polity,S3_InternetPentr_pct,A_AnocracyStress,SSI,Outcome,Outcome_Binary
2000,Algeria,22.9,33.29,50.66,-3,0.49,0.7,0.918387,Protest contained,0
2001,Algeria,23.11,32.92,46.93,-3,0.65,0.7,0.798062,Protest contained,0
2002,Algeria,23.22,32.56,46.03,-3,1.59,0.7,0.767054,Protest contained,0
2003,Algeria,23.22,32.2,43.86,-3,2.2,0.7,0.691042,Protest contained,0
2004,Algeria,23.09,31.83,34.21,2,4.63,0.8,0.469067,Protest contained,0
2005,Algeria,22.83,31.47,31.24,2,5.84,0.8,0.362387,Protest contained,0
2006,Algeria,22.45,31.11,24.4,2,7.38,0.8,0.132421,Protest contained,0
2007,Algeria,21.98,30.75,27.94,2,9.45,0.8,0.226479,Protest contained,0
2008,Algeria,21.43,30.38,24.43,2,10.18,0.8,0.090546,Protest contained,0
2009,Algeria,20.82,30.02,21.78,2,11.23,0.8,-0.0186,Protest contained,0
2010,Algeria,20.14,29.66,22.16,2,12.5,0.8,-0.034292,Protest contained,0
2011,Algeria,19.43,29.29,22.8,2,14.9,0.8,-0.037521,Protest contained,0
2012,Algeria,18.67,28.93,27.87,2,18.2,0.8,0.100833,Protest contained,0
2000,Bahrain,16.96,38.0,4.21,-9,6.15,0.09999999999999998,-1.055688,Protest suppressed,0
2001,Bahrain,17.28,38.0,4.27,-8,15.04,0.19999999999999996,-0.915363,Protest suppressed,0
2002,Bahrain,18.58,38.25,4.16,-7,18.05,0.30000000000000004,-0.769271,Protest suppressed,0
2003,Bahrain,19.81,38.59,4.04,-7,21.55,0.30000000000000004,-0.703896,Protest suppressed,0
2004,Bahrain,20.54,38.67,3.91,-7,21.46,0.30000000000000004,-0.681575,Protest suppressed,0
2005,Bahrain,20.7,38.91,3.84,-7,21.3,0.30000000000000004,-0.671729,Protest suppressed,0
2006,Bahrain,20.27,38.49,3.93,-7,28.24,0.30000000000000004,-0.661675,Protest suppressed,0
2007,Bahrain,19.32,38.12,4.06,-7,32.91,0.30000000000000004,-0.677492,Protest suppressed,0
2008,Bahrain,17.99,38.14,4.31,-7,51.95,0.30000000000000004,-0.618187,Protest suppressed,0
2009,Bahrain,16.47,38.36,4.69,-7,53.0,0.30000000000000004,-0.644854,Protest suppressed,0
2010,Bahrain,15.38,38.28,4.95,-5,55.0,0.5,-0.498896,Protest suppressed,0
2011,Bahrain,14.88,37.83,5.28,-8,77.0,0.19999999999999996,-0.659312,Protest suppressed,0
2012,Bahrain,14.47,37.84,5.43,-10,88.0,0.0,-0.779646,Protest suppressed,0
2000,Egypt,20.19,36.27,24.99,-6,0.64,0.4,-0.130258,Revolution,1
2001,Egypt,20.36,36.1,27.63,-6,0.84,0.4,-0.046404,Revolution,1
2002,Egypt,20.5,35.93,26.4,-6,2.72,0.4,-0.076088,Revolution,1
2003,Egypt,20.6,35.77,29.43,-6,4.04,0.4,0.023533,Revolution,1
2004,Egypt,20.67,35.6,28.37,-6,11.92,0.4,0.026829,Revolution,1
2005,Egypt,20.66,35.43,31.24,-3,12.75,0.7,0.365021,Revolution,1
2006,Egypt,20.58,35.07,30.52,-3,13.66,0.7,0.333154,Revolution,1
2007,Egypt,20.42,34.71,25.08,-3,16.03,0.7,0.158421,Revolution,1
2008,Egypt,20.17,34.35,25.54,-3,18.01,0.7,0.163113,Revolution,1
2009,Egypt,19.86,33.98,25.22,-3,20.0,0.7,0.141167,Revolution,1
2010,Egypt,19.51,33.49,24.58,-3,21.6,0.7,0.102188,Revolution,1
2011,Egypt,19.17,33.0,29.43,-2,25.6,0.8,0.330438,Revolution,1
2012,Egypt,18.84,33.94,34.44,-3,26.4,0.7,0.426042,Revolution,1
2000,Jordan,18.91,41.36,31.65,-2,2.62,0.8,0.537496,Reform avoided,0
2001,Jordan,18.82,41.48,33.9,-2,4.71,0.8,0.619008,Reform avoided,0
2002,Jordan,18.81,41.59,35.35,-2,6.03,0.8,0.674025,Reform avoided,0
2003,Jordan,18.84,41.71,33.29,-2,8.47,0.8,0.6266,Reform avoided,0
2004,Jordan,18.92,41.64,34.09,-2,11.66,0.8,0.668029,Reform avoided,0
2005,Jordan,19.01,41.58,34.99,-2,12.93,0.8,0.703629,Reform avoided,0
2006,Jordan,19.15,41.51,33.02,-2,13.87,0.8,0.649246,Reform avoided,0
2007,Jordan,19.36,41.45,31.76,-3,20.0,0.7,0.562313,Reform avoided,0
2008,Jordan,19.57,41.27,30.72,-3,23.0,0.7,0.546188,Reform avoided,0
2009,Jordan,19.77,41.09,31.37,-3,26.0,0.7,0.582542,Reform avoided,0
2010,Jordan,19.96,41.74,30.06,-3,27.2,0.7,0.57425,Reform avoided,0
2011,Jordan,20.11,42.4,30.79,-3,34.9,0.7,0.661187,Reform avoided,0
2012,Jordan,20.19,41.61,28.85,-3,37.0,0.7,0.589042,Reform avoided,0
2000,Kuwait,18.83,40.41,2.99,-7,6.73,0.30000000000000004,-0.7866,Stable,0
2001,Kuwait,18.92,40.41,2.98,-7,8.55,0.30000000000000004,-0.774812,Stable,0
2002,Kuwait,18.63,40.41,4.22,-7,10.25,0.30000000000000004,-0.737229,Stable,0
2003,Kuwait,18.0,40.41,5.22,-7,22.4,0.30000000000000004,-0.666229,Stable,0
2004,Kuwait,17.09,40.41,7.33,-7,22.93,0.30000000000000004,-0.627975,Stable,0
2005,Kuwait,16.64,40.41,6.57,-7,25.93,0.30000000000000004,-0.651725,Stable,0
2006,Kuwait,16.85,40.41,5.86,-7,28.79,0.30000000000000004,-0.652612,Stable,0
2007,Kuwait,16.96,40.41,6.86,-7,34.8,0.30000000000000004,-0.587646,Stable,0
2008,Kuwait,16.71,40.41,7.82,-7,42.0,0.30000000000000004,-0.529979,Stable,0
2009,Kuwait,16.15,40.41,7.24,-7,50.8,0.30000000000000004,-0.522771,Stable,0
2010,Kuwait,15.29,40.41,8.58,-7,61.4,0.30000000000000004,-0.456563,Stable,0
2011,Kuwait,13.9,40.41,10.3,-7,65.77,0.30000000000000004,-0.427296,Stable,0
2012,Kuwait,12.57,40.41,11.99,-7,70.45,0.30000000000000004,-0.395417,Stable,0
2000,Morocco,20.86,43.45,20.39,-6,0.69,0.4,-0.02705,Reform avoided,0
2001,Morocco,20.83,43.92,18.87,-6,1.37,0.4,-0.057462,Reform avoided,0
2002,Morocco,20.81,43.94,17.6,-6,2.37,0.4,-0.092192,Reform avoided,0
2003,Morocco,20.8,43.95,17.04,-6,3.35,0.4,-0.104812,Reform avoided,0
2004,Morocco,20.78,43.97,15.44,-6,11.61,0.4,-0.113554,Reform avoided,0
2005,Morocco,20.73,43.98,15.71,-6,15.08,0.4,-0.089121,Reform avoided,0
2006,Morocco,20.6,44.0,16.47,-6,19.77,0.4,-0.045629,Reform avoided,0
2007,Morocco,20.41,44.01,15.6,-6,21.5,0.4,-0.070188,Reform avoided,0
2008,Morocco,20.17,43.89,18.2,-6,33.1,0.4,0.057313,Reform avoided,0
2009,Morocco,19.87,43.76,16.65,-6,41.3,0.4,0.035812,Reform avoided,0
2010,Morocco,19.52,43.63,17.62,-6,52.0,0.4,0.103896,Reform avoided,0
2011,Morocco,19.14,43.5,17.93,-4,46.11,0.6,0.234071,Reform avoided,0
2012,Morocco,18.76,43.38,18.64,-4,55.42,0.6,0.286392,Reform avoided,0
2000,Oman,21.76,43.65,13.73,-9,3.52,0.09999999999999998,-0.434775,Protest contained,0
2001,Oman,22.06,43.29,13.34,-9,5.89,0.09999999999999998,-0.436363,Protest contained,0
2002,Oman,22.24,42.94,13.53,-8,6.87,0.19999999999999996,-0.347129,Protest contained,0
2003,Oman,22.33,42.58,14.57,-8,7.26,0.19999999999999996,-0.320929,Protest contained,0
2004,Oman,22.73,42.23,14.94,-8,6.76,0.19999999999999996,-0.309471,Protest contained,0
2005,Oman,23.34,41.87,14.59,-8,6.68,0.19999999999999996,-0.311725,Protest contained,0
2006,Oman,23.7,41.51,13.99,-8,8.3,0.19999999999999996,-0.321625,Protest contained,0
2007,Oman,23.7,41.16,13.91,-8,16.68,0.19999999999999996,-0.293163,Protest contained,0
2008,Oman,23.31,40.8,13.74,-8,20.0,0.19999999999999996,-0.306125,Protest contained,0
2009,Oman,22.55,40.45,13.54,-8,26.8,0.19999999999999996,-0.314646,Protest contained,0
2010,Oman,21.49,40.09,13.87,-8,35.83,0.19999999999999996,-0.305767,Protest contained,0
2011,Oman,20.05,39.74,15.21,-8,48.0,0.19999999999999996,-0.261979,Protest contained,0
2012,Oman,18.49,39.74,15.66,-8,60.0,0.19999999999999996,-0.239917,Protest contained,0
2000,Saudi Arabia,19.1,38.0,22.85,-10,2.21,0.0,-0.504887,Stable,0
2001,Saudi Arabia,20.17,38.0,22.44,-10,4.68,0.0,-0.469683,Stable,0
2002,Saudi Arabia,21.26,38.25,23.89,-10,6.38,0.0,-0.371725,Stable,0
2003,Saudi Arabia,22.32,38.59,24.46,-10,8.0,0.0,-0.299854,Stable,0
2004,Saudi Arabia,23.26,38.67,25.09,-10,10.23,0.0,-0.235183,Stable,0
2005,Saudi Arabia,24.03,38.91,25.81,-10,12.71,0.0,-0.167117,Stable,0
2006,Saudi Arabia,24.54,38.49,26.46,-10,19.46,0.0,-0.109179,Stable,0
2007,Saudi Arabia,24.76,38.12,23.81,-10,30.0,0.0,-0.143521,Stable,0
2008,Saudi Arabia,24.66,38.14,23.25,-10,36.0,0.0,-0.133729,Stable,0
2009,Saudi Arabia,24.25,38.36,24.74,-10,38.0,0.0,-0.083958,Stable,0
2010,Saudi Arabia,23.55,38.28,24.76,-10,41.0,0.0,-0.094167,Stable,0
2011,Saudi Arabia,22.6,37.83,25.11,-10,47.5,0.0,-0.096458,Stable,0
2012,Saudi Arabia,21.45,37.84,24.84,-10,54.0,0.0,-0.110417,Stable,0
2000,Syria,21.28,37.69,18.24,-6,0.18,0.4,-0.262788,Civil war,1
2001,Syria,21.34,37.94,21.98,-6,0.35,0.4,-0.13525,Civil war,1
2002,Syria,21.39,38.19,20.68,-6,2.09,0.4,-0.157696,Civil war,1
2003,Syria,21.42,38.43,19.43,-6,3.4,0.4,-0.181708,Civil war,1
2004,Syria,21.45,38.68,18.78,-6,4.32,0.4,-0.188608,Civil war,1
2005,Syria,21.47,37.49,18.18,-6,5.65,0.4,-0.237229,Civil war,1
2006,Syria,21.6,36.3,17.65,-6,7.83,0.4,-0.275746,Civil war,1
2007,Syria,21.77,35.12,18.92,-6,11.5,0.4,-0.248917,Civil war,1
2008,Syria,21.51,35.12,22.15,-6,14.0,0.4,-0.144146,Civil war,1
2009,Syria,21.02,35.12,16.32,-6,17.3,0.4,-0.326167,Civil war,1
2010,Syria,20.63,35.12,20.49,-6,20.7,0.4,-0.191854,Civil war,1
2011,Syria,20.19,35.12,21.11,-6,22.5,0.4,-0.178146,Civil war,1
2012,Syria,19.55,35.12,33.81,-9,24.3,0.09999999999999998,-0.043604,Civil war,1
2000,Tunisia,20.96,47.28,30.73,-3,2.75,0.7,0.679396,Revolution,1
2001,Tunisia,21.08,46.88,29.89,-3,4.3,0.7,0.652396,Revolution,1
2002,Tunisia,21.16,46.48,30.4,-4,5.25,0.6,0.579917,Revolution,1
2003,Tunisia,21.2,46.07,30.67,-4,6.49,0.6,0.583075,Revolution,1
2004,Tunisia,21.12,45.67,30.53,-4,8.53,0.6,0.573733,Revolution,1
2005,Tunisia,20.86,45.27,28.1,-4,9.66,0.6,0.482279,Revolution,1
2006,Tunisia,20.49,44.86,27.91,-4,12.99,0.6,0.467846,Revolution,1
2007,Tunisia,20.08,44.39,28.14,-4,17.1,0.6,0.467229,Revolution,1
2008,Tunisia,19.65,43.91,28.66,-4,27.53,0.6,0.506296,Revolution,1
2009,Tunisia,19.17,43.43,31.15,-4,34.07,0.6,0.585808,Revolution,1
2010,Tunisia,18.64,42.95,29.57,-4,36.8,0.6,0.517417,Revolution,1
2011,Tunisia,18.08,42.47,42.64,4,39.1,0.6,0.903688,Revolution,1
2012,Tunisia,17.52,41.99,38.44,5,41.44,0.5,0.667137,Revolution,1
2000,Yemen,20.59,38.17,18.61,-2,0.08,0.8,0.073608,Civil war,1
2001,Yemen,20.9,38.13,18.95,-2,0.09,0.8,0.093367,Civil war,1
2002,Yemen,21.2,38.08,19.24,-2,0.52,0.8,0.113017,Civil war,1
2003,Yemen,21.49,38.04,19.6,-2,0.6,0.8,0.133083,Civil war,1
2004,Yemen,21.75,38.0,19.9,-2,0.88,0.8,0.151275,Civil war,1
2005,Yemen,21.98,37.95,20.19,-2,1.05,0.8,0.167292,Civil war,1
2006,Yemen,22.19,37.91,20.55,-2,1.25,0.8,0.185292,Civil war,1
2007,Yemen,22.37,38.11,20.93,-2,5.01,0.8,0.228217,Civil war,1
2008,Yemen,22.49,38.31,21.37,-2,6.89,0.8,0.261617,Civil war,1
2009,Yemen,22.55,38.5,21.75,-2,9.96,0.8,0.296779,Civil war,1
2010,Yemen,22.54,38.7,22.04,-2,12.35,0.8,0.323708,Civil war,1
2011,Yemen,22.43,38.9,23.16,-2,14.91,0.8,0.374092,Civil war,1
2012,Yemen,22.22,39.1,23.83,3,17.45,0.7,0.323646,Civil war,1
