assignment,best_threshold_accuracy,accuracy_at_tau_0.10,correct_pairs
Algeria|Bahrain|Egypt|Jordan,8,6,15
Algeria|Bahrain|Egypt|Kuwait,7,4,6
Algeria|Bahrain|Egypt|Morocco,7,6,12
Algeria|Bahrain|Egypt|Oman,7,4,7
Algeria|Bahrain|Egypt|Saudi Arabia,7,4,9
Algeria|Bahrain|Egypt|Syria,7,4,8
Algeria|Bahrain|Egypt|Tunisia,7,6,14
Algeria|Bahrain|Egypt|Yemen,7,6,13
Algeria|Bahrain|Jordan|Kuwait,8,4,10
Algeria|Bahrain|Jordan|Morocco,8,6,16
Algeria|Bahrain|Jordan|Oman,8,4,11
Algeria|Bahrain|Jordan|Saudi Arabia,8,4,13
Algeria|Bahrain|Jordan|Syria,8,4,12
Algeria|Bahrain|Jordan|Tunisia,9,6,18
Algeria|Bahrain|Jordan|Yemen,8,6,17
Algeria|Bahrain|Kuwait|Morocco,7,4,7
Algeria|Bahrain|Kuwait|Oman,7,2,2
Algeria|Bahrain|Kuwait|Saudi Arabia,7,2,4
Algeria|Bahrain|Kuwait|Syria,7,2,3
Algeria|Bahrain|Kuwait|Tunisia,7,4,9
Algeria|Bahrain|Kuwait|Yemen,7,4,8
Algeria|Bahrain|Morocco|Oman,7,4,8
Algeria|Bahrain|Morocco|Saudi Arabia,7,4,10
Algeria|Bahrain|Morocco|Syria,7,4,9
Algeria|Bahrain|Morocco|Tunisia,7,6,15
Algeria|Bahrain|Morocco|Yemen,7,6,14
Algeria|Bahrain|Oman|Saudi Arabia,7,2,5
Algeria|Bahrain|Oman|Syria,7,2,4
Algeria|Bahrain|Oman|Tunisia,7,4,10
Algeria|Bahrain|Oman|Yemen,7,4,9
Algeria|Bahrain|Saudi Arabia|Syria,7,2,6
Algeria|Bahrain|Saudi Arabia|Tunisia,7,4,12
Algeria|Bahrain|Saudi Arabia|Yemen,7,4,11
Algeria|Bahrain|Syria|Tunisia,7,4,11
Algeria|Bahrain|Syria|Yemen,7,4,10
Algeria|Bahrain|Tunisia|Yemen,8,6,16
Algeria|Egypt|Jordan|Kuwait,8,6,16
Algeria|Egypt|Jordan|Morocco,9,8,22
Algeria|Egypt|Jordan|Oman,8,6,17
Algeria|Egypt|Jordan|Saudi Arabia,8,6,19
