Year,Country,D2_YouthBulge_pct,E2_Gini,E4_YouthUnemp_pct,P1_Polity,S3_InternetPentr_pct,SSI,Outcome,Outcome_Binary
2000,Algeria,22.90,33.29,50.66,-3,0.49,0.92,Protest contained,0
2001,Algeria,23.11,32.92,46.93,-3,0.65,0.80,Protest contained,0
2002,Algeria,23.22,32.56,46.03,-3,1.59,0.77,Protest contained,0
2003,Algeria,23.22,32.20,43.86,-3,2.20,0.69,Protest contained,0
2004,Algeria,23.09,31.83,34.21,2,4.63,0.47,Protest contained,0
2005,Algeria,22.83,31.47,31.24,2,5.84,0.36,Protest contained,0
2006,Algeria,22.45,31.11,24.40,2,7.38,0.13,Protest contained,0
2007,Algeria,21.98,30.75,27.94,2,9.45,0.23,Protest contained,0
2008,Algeria,21.43,30.38,24.43,2,10.18,0.09,Protest contained,0
2009,Algeria,20.82,30.02,21.78,2,11.23,-0.02,Protest contained,0
2010,Algeria,20.14,29.66,22.16,2,12.50,-0.03,Protest contained,0
2011,Algeria,19.43,29.29,22.80,2,14.90,-0.04,Protest contained,0
2012,Algeria,18.67,28.93,27.87,2,18.20,0.10,Protest contained,0
2000,Bahrain,16.96,38.00,4.21,-9,6.15,-1.06,Protest suppressed,0
2001,Bahrain,17.28,38.00,4.27,-8,15.04,-0.92,Protest suppressed,0
2002,Bahrain,18.58,38.25,4.16,-7,18.05,-0.77,Protest suppressed,0
2003,Bahrain,19.81,38.59,4.04,-7,21.55,-0.70,Protest suppressed,0
2004,Bahrain,20.54,38.67,3.91,-7,21.46,-0.68,Protest suppressed,0
2005,Bahrain,20.70,38.91,3.84,-7,21.30,-0.67,Protest suppressed,0
2006,Bahrain,20.27,38.49,3.93,-7,28.24,-0.66,Protest suppressed,0
2007,Bahrain,19.32,38.12,4.06,-7,32.91,-0.68,Protest suppressed,0
2008,Bahrain,17.99,38.14,4.31,-7,51.95,-0.62,Protest suppressed,0
2009,Bahrain,16.47,38.36,4.69,-7,53.00,-0.64,Protest suppressed,0
2010,Bahrain,15.38,38.28,4.95,-5,55.00,-0.50,Protest suppressed,0
2011,Bahrain,14.88,37.83,5.28,-8,77.00,-0.66,Protest suppressed,0
2012,Bahrain,14.47,37.84,5.43,-10,88.00,-0.78,Protest suppressed,0
2000,Egypt,20.19,36.27,24.99,-6,0.64,-0.13,Revolution,1
2001,Egypt,20.36,36.10,27.63,-6,0.84,-0.05,Revolution,1
2002,Egypt,20.50,35.93,26.40,-6,2.72,-0.08,Revolution,1
2003,Egypt,20.60,35.77,29.43,-6,4.04,0.02,Revolution,1
2004,Egypt,20.67,35.60,28.37,-6,11.92,0.03,Revolution,1
2005,Egypt,20.66,35.43,31.24,-3,12.75,0.37,Revolution,1
2006,Egypt,20.58,35.07,30.52,-3,13.66,0.33,Revolution,1
2007,Egypt,20.42,34.71,25.08,-3,16.03,0.16,Revolution,1
2008,Egypt,20.17,34.35,25.54,-3,18.01,0.16,Revolution,1
2009,Egypt,19.86,33.98,25.22,-3,20.00,0.14,Revolution,1
2010,Egypt,19.51,33.49,24.58,-3,21.60,0.10,Revolution,1
2011,Egypt,19.17,33.00,29.43,-2,25.60,0.33,Revolution,1
2012,Egypt,18.84,33.94,34.44,-3,26.40,0.43,Revolution,1
2000,Jordan,18.91,41.36,31.65,-2,2.62,0.54,Reform avoided,0
2001,Jordan,18.82,41.48,33.90,-2,4.71,0.62,Reform avoided,0
2002,Jordan,18.81,41.59,35.35,-2,6.03,0.67,Reform avoided,0
2003,Jordan,18.84,41.71,33.29,-2,8.47,0.63,Reform avoided,0
2004,Jordan,18.92,41.64,34.09,-2,11.66,0.67,Reform avoided,0
2005,Jordan,19.01,41.58,34.99,-2,12.93,0.70,Reform avoided,0
2006,Jordan,19.15,41.51,33.02,-2,13.87,0.65,Reform avoided,0
2007,Jordan,19.36,41.45,31.76,-3,20.00,0.56,Reform avoided,0
2008,Jordan,19.57,41.27,30.72,-3,23.00,0.55,Reform avoided,0
2009,Jordan,19.77,41.09,31.37,-3,26.00,0.58,Reform avoided,0
2010,Jordan,19.96,41.74,30.06,-3,27.20,0.57,Reform avoided,0
2011,Jordan,20.11,42.40,30.79,-3,34.90,0.66,Reform avoided,0
2012,Jordan,20.19,41.61,28.85,-3,37.00,0.59,Reform avoided,0
2000,Kuwait,18.83,40.41,2.99,-7,6.73,-0.79,Stable,0
2001,Kuwait,18.92,40.41,2.98,-7,8.55,-0.77,Stable,0
2002,Kuwait,18.63,40.41,4.22,-7,10.25,-0.74,Stable,0
2003,Kuwait,18.00,40.41,5.22,-7,22.40,-0.67,Stable,0
2004,Kuwait,17.09,40.41,7.33,-7,22.93,-0.63,Stable,0
2005,Kuwait,16.64,40.41,6.57,-7,25.93,-0.65,Stable,0
2006,Kuwait,16.85,40.41,5.86,-7,28.79,-0.65,Stable,0
2007,Kuwait,16.96,40.41,6.86,-7,34.80,-0.59,Stable,0
2008,Kuwait,16.71,40.41,7.82,-7,42.00,-0.53,Stable,0
2009,Kuwait,16.15,40.41,7.24,-7,50.80,-0.52,Stable,0
2010,Kuwait,15.29,40.41,8.58,-7,61.40,-0.46,Stable,0
2011,Kuwait,13.90,40.41,10.30,-7,65.77,-0.43,Stable,0
2012,Kuwait,12.57,40.41,11.99,-7,70.45,-0.40,Stable,0
2000,Morocco,20.86,43.45,20.39,-6,0.69,-0.03,Reform avoided,0
2001,Morocco,20.83,43.92,18.87,-6,1.37,-0.06,Reform avoided,0
2002,Morocco,20.81,43.94,17.60,-6,2.37,-0.09,Reform avoided,0
2003,Morocco,20.80,43.95,17.04,-6,3.35,-0.10,Reform avoided,0
