country,iso3,year,ssi,notes
Tunisia,TUN,2000,0.68,
Tunisia,TUN,2001,0.65,
Tunisia,TUN,2002,0.58,
Tunisia,TUN,2003,0.58,
Tunisia,TUN,2004,0.57,
Tunisia,TUN,2005,0.48,
Tunisia,TUN,2006,0.47,
Tunisia,TUN,2007,0.47,
Tunisia,TUN,2008,0.51,
Tunisia,TUN,2009,0.59,
Tunisia,TUN,2010,0.52,
Tunisia,TUN,2011,0.90,transition year - Polity recoded
Tunisia,TUN,2012,0.67,
Egypt,EGY,2000,-0.13,
Egypt,EGY,2001,-0.05,
Egypt,EGY,2002,-0.08,
Egypt,EGY,2003,0.02,
Egypt,EGY,2004,0.03,
Egypt,EGY,2005,0.37,
Egypt,EGY,2006,0.33,
Egypt,EGY,2007,0.16,
Egypt,EGY,2008,0.16,
Egypt,EGY,2009,0.14,
Egypt,EGY,2010,0.10,
Egypt,EGY,2011,0.33,transition year - Polity recoded
Egypt,EGY,2012,0.43,
Saudi Arabia,SAU,2000,-0.50,
Saudi Arabia,SAU,2001,-0.47,
Saudi Arabia,SAU,2002,-0.37,
Saudi Arabia,SAU,2003,-0.30,
Saudi Arabia,SAU,2004,-0.24,
Saudi Arabia,SAU,2005,-0.17,
Saudi Arabia,SAU,2006,-0.11,
Saudi Arabia,SAU,2007,-0.14,
Saudi Arabia,SAU,2008,-0.13,Gini interpolated
Saudi Arabia,SAU,2009,-0.08,Gini interpolated
Saudi Arabia,SAU,2010,-0.09,Gini interpolated
Saudi Arabia,SAU,2011,-0.10,
Saudi Arabia,SAU,2012,-0.11,
