country,iso3,year,ssi_raw,ssi_smooth,notes
Tunisia,TUN,2000,,,
Tunisia,TUN,2001,,,
Tunisia,TUN,2002,,,
Tunisia,TUN,2003,,,
Tunisia,TUN,2004,,,
Tunisia,TUN,2005,,,
Tunisia,TUN,2006,,,
Tunisia,TUN,2007,,,
Tunisia,TUN,2008,,,
Tunisia,TUN,2009,,,
Tunisia,TUN,2010,,,
Tunisia,TUN,2011,,,transition year - Polity recoded
Tunisia,TUN,2012,,,
Egypt,EGY,2000,,,
Egypt,EGY,2001,,,
Egypt,EGY,2002,,,
Egypt,EGY,2003,,,
Egypt,EGY,2004,,,
Egypt,EGY,2005,,,
Egypt,EGY,2006,,,
Egypt,EGY,2007,,,
Egypt,EGY,2008,,,
Egypt,EGY,2009,,,
Egypt,EGY,2010,,,
Egypt,EGY,2011,,,transition year - Polity recoded
Egypt,EGY,2012,,,
Saudi Arabia,SAU,2000,,,
Saudi Arabia,SAU,2001,,,
Saudi Arabia,SAU,2002,,,
Saudi Arabia,SAU,2003,,,
Saudi Arabia,SAU,2004,,,
Saudi Arabia,SAU,2005,,,
Saudi Arabia,SAU,2006,,,
Saudi Arabia,SAU,2007,,,
Saudi Arabia,SAU,2008,,,Gini uncertain
Saudi Arabia,SAU,2009,,,Gini uncertain
Saudi Arabia,SAU,2010,,,Gini uncertain
Saudi Arabia,SAU,2011,,,
Saudi Arabia,SAU,2012,,,
