country,iso3,year,d2_youth_bulge,e2_gini,e4_youth_unemployment,p1_polity,s3_internet,data_quality
Tunisia,TUN,2000,,,,−7,,
Tunisia,TUN,2001,,,,−7,,
Tunisia,TUN,2002,,,,−7,,
Tunisia,TUN,2003,,,,−7,,
Tunisia,TUN,2004,,,,−7,,
Tunisia,TUN,2005,,,,−7,,
Tunisia,TUN,2006,,,,−7,,
Tunisia,TUN,2007,,,,−7,,
Tunisia,TUN,2008,,,,−7,,
Tunisia,TUN,2009,,,,−7,,
Tunisia,TUN,2010,,,,−7,,
Tunisia,TUN,2011,,,,0,,
Tunisia,TUN,2012,,,,6,,
Egypt,EGY,2000,,,,−6,,
Egypt,EGY,2001,,,,−6,,
Egypt,EGY,2002,,,,−6,,
Egypt,EGY,2003,,,,−6,,
Egypt,EGY,2004,,,,−6,,
Egypt,EGY,2005,,,,−6,,
Egypt,EGY,2006,,,,−6,,
Egypt,EGY,2007,,,,−6,,
Egypt,EGY,2008,,,,−6,,
Egypt,EGY,2009,,,,−6,,
Egypt,EGY,2010,,,,−6,,
Egypt,EGY,2011,,,,−3,,
Egypt,EGY,2012,,,,4,,
Saudi Arabia,SAU,2000,,,,−10,,
Saudi Arabia,SAU,2001,,,,−10,,
Saudi Arabia,SAU,2002,,,,−10,,
Saudi Arabia,SAU,2003,,,,−10,,
Saudi Arabia,SAU,2004,,,,−10,,
Saudi Arabia,SAU,2005,,,,−10,,
Saudi Arabia,SAU,2006,,,,−10,,
Saudi Arabia,SAU,2007,,,,−10,,
Saudi Arabia,SAU,2008,,,,−10,,
Saudi Arabia,SAU,2009,,,,−10,,
Saudi Arabia,SAU,2010,,,,−10,,
Saudi Arabia,SAU,2011,,,,−10,,
Saudi Arabia,SAU,2012,,,,−10,,
