ISO3,year,sub_window,variable,value,source,note
BEL,1820,1820-1913,pop,3434.0,Maddison,
BEL,1820,1820-1913,gdppc,2358.0,Maddison,Maddison: gdppc not reconstructed pre-1846
BEL,1820,1820-1913,v2x_libdem,,V-Dem,pre-independence (Belgium independent 1830)
BEL,1820,1820-1913,v2x_polyarchy,,V-Dem,pre-independence (Belgium independent 1830)
BEL,1820,1820-1913,cinc,,COW,pre-independence (Belgium independent 1830)
BEL,1821,1820-1913,pop,3464.0,Maddison,
BEL,1821,1820-1913,gdppc,,Maddison,Maddison: gdppc not reconstructed pre-1846
BEL,1821,1820-1913,v2x_libdem,,V-Dem,pre-independence (Belgium independent 1830)
BEL,1821,1820-1913,v2x_polyarchy,,V-Dem,pre-independence (Belgium independent 1830)
BEL,1821,1820-1913,cinc,,COW,pre-independence (Belgium independent 1830)
BEL,1822,1820-1913,pop,3495.0,Maddison,
BEL,1822,1820-1913,gdppc,,Maddison,Maddison: gdppc not reconstructed pre-1846
BEL,1822,1820-1913,v2x_libdem,,V-Dem,pre-independence (Belgium independent 1830)
BEL,1822,1820-1913,v2x_polyarchy,,V-Dem,pre-independence (Belgium independent 1830)
BEL,1822,1820-1913,cinc,,COW,pre-independence (Belgium independent 1830)
BEL,1823,1820-1913,pop,3526.0,Maddison,
BEL,1823,1820-1913,gdppc,,Maddison,Maddison: gdppc not reconstructed pre-1846
BEL,1823,1820-1913,v2x_libdem,,V-Dem,pre-independence (Belgium independent 1830)
BEL,1823,1820-1913,v2x_polyarchy,,V-Dem,pre-independence (Belgium independent 1830)
BEL,1823,1820-1913,cinc,,COW,pre-independence (Belgium independent 1830)
BEL,1824,1820-1913,pop,3557.0,Maddison,
BEL,1824,1820-1913,gdppc,,Maddison,Maddison: gdppc not reconstructed pre-1846
BEL,1824,1820-1913,v2x_libdem,,V-Dem,pre-independence (Belgium independent 1830)
BEL,1824,1820-1913,v2x_polyarchy,,V-Dem,pre-independence (Belgium independent 1830)
BEL,1824,1820-1913,cinc,,COW,pre-independence (Belgium independent 1830)
BEL,1825,1820-1913,pop,3589.0,Maddison,
BEL,1825,1820-1913,gdppc,,Maddison,Maddison: gdppc not reconstructed pre-1846
BEL,1825,1820-1913,v2x_libdem,,V-Dem,pre-independence (Belgium independent 1830)
BEL,1825,1820-1913,v2x_polyarchy,,V-Dem,pre-independence (Belgium independent 1830)
BEL,1825,1820-1913,cinc,,COW,pre-independence (Belgium independent 1830)
BEL,1826,1820-1913,pop,3620.0,Maddison,
BEL,1826,1820-1913,gdppc,,Maddison,Maddison: gdppc not reconstructed pre-1846
BEL,1826,1820-1913,v2x_libdem,,V-Dem,pre-independence (Belgium independent 1830)
BEL,1826,1820-1913,v2x_polyarchy,,V-Dem,pre-independence (Belgium independent 1830)
BEL,1826,1820-1913,cinc,,COW,pre-independence (Belgium independent 1830)
BEL,1827,1820-1913,pop,3652.0,Maddison,
BEL,1827,1820-1913,gdppc,,Maddison,Maddison: gdppc not reconstructed pre-1846
BEL,1827,1820-1913,v2x_libdem,,V-Dem,pre-independence (Belgium independent 1830)
BEL,1827,1820-1913,v2x_polyarchy,,V-Dem,pre-independence (Belgium independent 1830)
BEL,1827,1820-1913,cinc,,COW,pre-independence (Belgium independent 1830)
BEL,1828,1820-1913,pop,3685.0,Maddison,
BEL,1828,1820-1913,gdppc,,Maddison,Maddison: gdppc not reconstructed pre-1846
BEL,1828,1820-1913,v2x_libdem,,V-Dem,pre-independence (Belgium independent 1830)
BEL,1828,1820-1913,v2x_polyarchy,,V-Dem,pre-independence (Belgium independent 1830)
BEL,1828,1820-1913,cinc,,COW,pre-independence (Belgium independent 1830)
BEL,1829,1820-1913,pop,3717.0,Maddison,
BEL,1829,1820-1913,gdppc,,Maddison,Maddison: gdppc not reconstructed pre-1846
BEL,1829,1820-1913,v2x_libdem,,V-Dem,pre-independence (Belgium independent 1830)
BEL,1829,1820-1913,v2x_polyarchy,,V-Dem,pre-independence (Belgium independent 1830)
BEL,1829,1820-1913,cinc,,COW,pre-independence (Belgium independent 1830)
BEL,1830,1820-1913,pop,3750.0,Maddison,
BEL,1830,1820-1913,gdppc,,Maddison,Maddison: gdppc not reconstructed pre-1846
BEL,1830,1820-1913,v2x_libdem,0.167,V-Dem,
BEL,1830,1820-1913,v2x_polyarchy,0.188,V-Dem,
BEL,1830,1820-1913,cinc,0.037564769,COW,
BEL,1831,1820-1913,pop,3782.0,Maddison,
BEL,1831,1820-1913,gdppc,,Maddison,Maddison: gdppc not reconstructed pre-1846
BEL,1831,1820-1913,v2x_libdem,0.251,V-Dem,
BEL,1831,1820-1913,v2x_polyarchy,0.224,V-Dem,
BEL,1831,1820-1913,cinc,0.035279308,COW,
BEL,1832,1820-1913,pop,3814.0,Maddison,
BEL,1832,1820-1913,gdppc,,Maddison,Maddison: gdppc not reconstructed pre-1846
BEL,1832,1820-1913,v2x_libdem,0.295,V-Dem,
BEL,1832,1820-1913,v2x_polyarchy,0.272,V-Dem,
BEL,1832,1820-1913,cinc,0.035414238,COW,
BEL,1833,1820-1913,pop,3846.0,Maddison,
BEL,1833,1820-1913,gdppc,,Maddison,Maddison: gdppc not reconstructed pre-1846
BEL,1833,1820-1913,v2x_libdem,0.295,V-Dem,
BEL,1833,1820-1913,v2x_polyarchy,0.272,V-Dem,
BEL,1833,1820-1913,cinc,0.031753067,COW,
BEL,1834,1820-1913,pop,3879.0,Maddison,
BEL,1834,1820-1913,gdppc,,Maddison,Maddison: gdppc not reconstructed pre-1846
BEL,1834,1820-1913,v2x_libdem,0.295,V-Dem,
BEL,1834,1820-1913,v2x_polyarchy,0.272,V-Dem,
BEL,1834,1820-1913,cinc,0.029565029,COW,
BEL,1835,1820-1913,pop,3912.0,Maddison,
BEL,1835,1820-1913,gdppc,,Maddison,Maddison: gdppc not reconstructed pre-1846
BEL,1835,1820-1913,v2x_libdem,0.294,V-Dem,
BEL,1835,1820-1913,v2x_polyarchy,0.272,V-Dem,
BEL,1835,1820-1913,cinc,0.029868515,COW,
BEL,1836,1820-1913,pop,3945.0,Maddison,
BEL,1836,1820-1913,gdppc,,Maddison,Maddison: gdppc not reconstructed pre-1846
BEL,1836,1820-1913,v2x_libdem,0.294,V-Dem,
BEL,1836,1820-1913,v2x_polyarchy,0.272,V-Dem,
BEL,1836,1820-1913,cinc,0.030761173,COW,
BEL,1837,1820-1913,pop,3978.0,Maddison,
BEL,1837,1820-1913,gdppc,,Maddison,Maddison: gdppc not reconstructed pre-1846
BEL,1837,1820-1913,v2x_libdem,0.295,V-Dem,
BEL,1837,1820-1913,v2x_polyarchy,0.272,V-Dem,
BEL,1837,1820-1913,cinc,0.033067495,COW,
BEL,1838,1820-1913,pop,4012.0,Maddison,
BEL,1838,1820-1913,gdppc,,Maddison,Maddison: gdppc not reconstructed pre-1846
BEL,1838,1820-1913,v2x_libdem,0.295,V-Dem,
BEL,1838,1820-1913,v2x_polyarchy,0.272,V-Dem,
BEL,1838,1820-1913,cinc,0.031491712,COW,
BEL,1839,1820-1913,pop,4046.0,Maddison,
BEL,1839,1820-1913,gdppc,,Maddison,Maddison: gdppc not reconstructed pre-1846
BEL,1839,1820-1913,v2x_libdem,0.294,V-Dem,
BEL,1839,1820-1913,v2x_polyarchy,0.272,V-Dem,
BEL,1839,1820-1913,cinc,0.02977079,COW,
BEL,1840,1820-1913,pop,4080.0,Maddison,
BEL,1840,1820-1913,gdppc,,Maddison,Maddison: gdppc not reconstructed pre-1846
BEL,1840,1820-1913,v2x_libdem,0.321,V-Dem,
BEL,1840,1820-1913,v2x_polyarchy,0.314,V-Dem,
BEL,1840,1820-1913,cinc,0.026867211,COW,
BEL,1841,1820-1913,pop,4115.0,Maddison,
BEL,1841,1820-1913,gdppc,,Maddison,Maddison: gdppc not reconstructed pre-1846
BEL,1841,1820-1913,v2x_libdem,0.325,V-Dem,
BEL,1841,1820-1913,v2x_polyarchy,0.321,V-Dem,
BEL,1841,1820-1913,cinc,0.02534087,COW,
BEL,1842,1820-1913,pop,4151.0,Maddison,
BEL,1842,1820-1913,gdppc,,Maddison,Maddison: gdppc not reconstructed pre-1846
BEL,1842,1820-1913,v2x_libdem,0.325,V-Dem,
BEL,1842,1820-1913,v2x_polyarchy,0.321,V-Dem,
BEL,1842,1820-1913,cinc,0.02580216,COW,
BEL,1843,1820-1913,pop,4187.0,Maddison,
BEL,1843,1820-1913,gdppc,,Maddison,Maddison: gdppc not reconstructed pre-1846
BEL,1843,1820-1913,v2x_libdem,0.327,V-Dem,
BEL,1843,1820-1913,v2x_polyarchy,0.323,V-Dem,
BEL,1843,1820-1913,cinc,0.024230454,COW,
BEL,1844,1820-1913,pop,4223.0,Maddison,
BEL,1844,1820-1913,gdppc,,Maddison,Maddison: gdppc not reconstructed pre-1846
BEL,1844,1820-1913,v2x_libdem,0.327,V-Dem,
BEL,1844,1820-1913,v2x_polyarchy,0.323,V-Dem,
BEL,1844,1820-1913,cinc,0.023950579,COW,
BEL,1845,1820-1913,pop,4259.0,Maddison,
BEL,1845,1820-1913,gdppc,,Maddison,Maddison: gdppc not reconstructed pre-1846
BEL,1845,1820-1913,v2x_libdem,0.326,V-Dem,
BEL,1845,1820-1913,v2x_polyarchy,0.323,V-Dem,
BEL,1845,1820-1913,cinc,0.024000896,COW,
BEL,1846,1820-1913,pop,4296.0,Maddison,
BEL,1846,1820-1913,gdppc,2700.0,Maddison,
BEL,1846,1820-1913,v2x_libdem,0.326,V-Dem,
BEL,1846,1820-1913,v2x_polyarchy,0.323,V-Dem,
BEL,1846,1820-1913,cinc,0.024814166,COW,
BEL,1847,1820-1913,pop,4333.0,Maddison,
BEL,1847,1820-1913,gdppc,2809.0,Maddison,
BEL,1847,1820-1913,v2x_libdem,0.332,V-Dem,
BEL,1847,1820-1913,v2x_polyarchy,0.335,V-Dem,
BEL,1847,1820-1913,cinc,0.027083093,COW,
BEL,1848,1820-1913,pop,4371.0,Maddison,
BEL,1848,1820-1913,gdppc,2796.0,Maddison,
BEL,1848,1820-1913,v2x_libdem,0.334,V-Dem,
BEL,1848,1820-1913,v2x_polyarchy,0.337,V-Dem,
BEL,1848,1820-1913,cinc,0.023560191,COW,
BEL,1849,1820-1913,pop,4408.0,Maddison,
BEL,1849,1820-1913,gdppc,2853.0,Maddison,
BEL,1849,1820-1913,v2x_libdem,0.334,V-Dem,
BEL,1849,1820-1913,v2x_polyarchy,0.337,V-Dem,
BEL,1849,1820-1913,cinc,0.022702526,COW,
BEL,1850,1820-1913,pop,4449.0,Maddison,
BEL,1850,1820-1913,gdppc,2944.0,Maddison,
BEL,1850,1820-1913,v2x_libdem,0.335,V-Dem,
BEL,1850,1820-1913,v2x_polyarchy,0.338,V-Dem,
BEL,1850,1820-1913,cinc,0.022496564,COW,
BEL,1851,1820-1913,pop,4477.0,Maddison,
BEL,1851,1820-1913,gdppc,3006.0,Maddison,
BEL,1851,1820-1913,v2x_libdem,0.335,V-Dem,
BEL,1851,1820-1913,v2x_polyarchy,0.339,V-Dem,
BEL,1851,1820-1913,cinc,0.024517668,COW,
BEL,1852,1820-1913,pop,4506.0,Maddison,
BEL,1852,1820-1913,gdppc,3067.0,Maddison,
BEL,1852,1820-1913,v2x_libdem,0.335,V-Dem,
BEL,1852,1820-1913,v2x_polyarchy,0.338,V-Dem,
BEL,1852,1820-1913,cinc,0.024761695,COW,
BEL,1853,1820-1913,pop,4534.0,Maddison,
BEL,1853,1820-1913,gdppc,3127.0,Maddison,
BEL,1853,1820-1913,v2x_libdem,0.334,V-Dem,
BEL,1853,1820-1913,v2x_polyarchy,0.338,V-Dem,
BEL,1853,1820-1913,cinc,0.025100691,COW,
BEL,1854,1820-1913,pop,4563.0,Maddison,
BEL,1854,1820-1913,gdppc,3300.0,Maddison,
BEL,1854,1820-1913,v2x_libdem,0.334,V-Dem,
BEL,1854,1820-1913,v2x_polyarchy,0.338,V-Dem,
BEL,1854,1820-1913,cinc,0.024501983,COW,
BEL,1855,1820-1913,pop,4592.0,Maddison,
BEL,1855,1820-1913,gdppc,3301.0,Maddison,
BEL,1855,1820-1913,v2x_libdem,0.334,V-Dem,
BEL,1855,1820-1913,v2x_polyarchy,0.337,V-Dem,
BEL,1855,1820-1913,cinc,0.023892172,COW,
BEL,1856,1820-1913,pop,4621.0,Maddison,
BEL,1856,1820-1913,gdppc,3459.0,Maddison,
BEL,1856,1820-1913,v2x_libdem,0.334,V-Dem,
BEL,1856,1820-1913,v2x_polyarchy,0.338,V-Dem,
BEL,1856,1820-1913,cinc,0.023416763,COW,
BEL,1857,1820-1913,pop,4651.0,Maddison,
BEL,1857,1820-1913,gdppc,3524.0,Maddison,
BEL,1857,1820-1913,v2x_libdem,0.335,V-Dem,
BEL,1857,1820-1913,v2x_polyarchy,0.339,V-Dem,
BEL,1857,1820-1913,cinc,0.024114121,COW,
BEL,1858,1820-1913,pop,4680.0,Maddison,
BEL,1858,1820-1913,gdppc,3526.0,Maddison,
BEL,1858,1820-1913,v2x_libdem,0.335,V-Dem,
BEL,1858,1820-1913,v2x_polyarchy,0.338,V-Dem,
BEL,1858,1820-1913,cinc,0.025372269,COW,
BEL,1859,1820-1913,pop,4710.0,Maddison,
BEL,1859,1820-1913,gdppc,3502.0,Maddison,
BEL,1859,1820-1913,v2x_libdem,0.334,V-Dem,
BEL,1859,1820-1913,v2x_polyarchy,0.338,V-Dem,
BEL,1859,1820-1913,cinc,0.024720332,COW,
BEL,1860,1820-1913,pop,4740.0,Maddison,
BEL,1860,1820-1913,gdppc,3655.0,Maddison,
BEL,1860,1820-1913,v2x_libdem,0.334,V-Dem,
BEL,1860,1820-1913,v2x_polyarchy,0.338,V-Dem,
